,amount_of_feats_to_reg,corr_cutoff_bound,linear_reg_to,next_predictor_provider,order,req_neighs,Rm_mape,Rm_r2,Rm_missing_from_test,Rm_missing,Rp02_mape,Rp02_r2,Rp02_missing_from_test,Rp02_missing,A5_mape,A5_r2,A5_missing_from_test,A5_missing,HB_mape,HB_r2,HB_missing_from_test,HB_missing,K_mape,K_r2,K_missing_from_test,K_missing,avg_r2,avg_mape
10,1,0.85,0.7,dectree,2,10,5.986077313742177,0.745069054272879,1,5.0,7.592142351278551,0.7825214597653043,1,8.0,18.999748728256673,0.43362494206387814,13,133.0,5.428172533350253,0.8844779157703404,3,106.0,18.33827641291997,0.745874392821031,8,231.0,0.7183135529386865,11.268883467909523
11,1,0.85,0.7,dectree,2,20,4.3249669582100765,0.8320374700375586,1,10.0,7.361161064131508,0.6885439660387718,0,10.0,45.12976227208094,-0.21959045379843944,10,92.0,9.215114591932835,0.5280720522827528,1,14.0,30.15505435238433,0.1097706120370453,3,38.0,0.3877667293195378,19.237211847747936
12,1,0.85,0.85,lin,1,5,5.297725162164724,0.7949963104363272,1,10.0,7.026426835918348,0.7776098358539667,1,16.0,16.700161430866068,0.4821518999546207,10,136.0,5.355580358687584,0.7597134499129313,4,11.0,9.882313499784956,0.6998972202199681,6,133.0,0.7028737432755628,8.852441457484336
13,1,0.85,0.85,lin,1,10,7.062092688243167,0.5915318662000288,2,6.0,7.429201455105101,0.7915952515471743,1,11.0,19.824251551279886,0.44481253523087416,14,244.0,3.8953851874581793,0.9205634437930178,6,119.0,11.92638665923572,0.683026991004559,7,175.0,0.6863060175551308,10.027463508264411
14,1,0.85,0.85,lin,1,20,4.358372171699687,0.8327811015494204,1,10.0,7.835053589777237,0.5930321960371132,0,14.0,45.12976227208094,-0.21959045379843944,10,85.0,13.2023877427949,0.3227793777625332,4,10.0,21.475503185362907,0.5749663183339784,4,95.0,0.4207937079769211,18.400215792343136
15,1,0.85,0.85,lin,2,5,5.036633306621722,0.8070643250595195,1,8.0,7.328345169727335,0.7689008125977401,1,16.0,15.085026219042863,0.4655541654493126,13,142.0,7.475392022643315,0.6617922701842259,6,20.0,18.369041706169178,0.8613206753326619,7,75.0,0.712926449724692,10.658887684840881
16,1,0.85,0.85,lin,2,10,6.053243612005691,0.7489255974864251,0,5.0,7.592142351278551,0.7825214597653043,1,7.0,19.824251551279886,0.44481253523087416,14,154.0,7.162885689329665,0.7856971853110917,3,102.0,21.338257193777764,0.6794715841886827,8,262.0,0.6882856723964756,12.39415607953431
17,1,0.85,0.85,lin,2,20,4.223063283977795,0.8344058195611465,1,7.0,7.93173100090567,0.5926677039934276,0,9.0,45.12976227208094,-0.21959045379843944,10,88.0,9.252476255852619,0.527495433102328,1,14.0,26.82117142123399,0.41966661097209834,3,47.0,0.43092902276611217,18.671640846810202
18,1,0.85,0.85,dectree,1,5,7.062092688243167,0.5915318662000288,2,6.0,7.429201455105101,0.7915952515471743,1,11.0,19.824251551279886,0.44481253523087416,14,244.0,3.8953851874581793,0.9205634437930178,6,119.0,11.92638665923572,0.683026991004559,7,175.0,0.6863060175551308,10.027463508264411
19,1,0.85,0.85,dectree,1,10,5.297725162164724,0.7949963104363272,1,12.0,7.026426835918348,0.7776098358539667,1,19.0,18.58176415293909,0.01045697463003592,13,142.0,5.519271100726578,0.7584411704752291,5,13.0,12.353865527297089,0.6762017702928638,6,147.0,0.6035412123376845,9.755810555809166
20,1,0.85,0.85,dectree,1,20,5.036633306621722,0.8070643250595195,1,7.0,7.328345169727335,0.7689008125977401,1,15.0,18.58176415293909,0.01045697463003592,13,142.0,6.607694628795765,0.6908115192559133,6,16.0,26.929638408450497,0.6599714956778575,7,101.0,0.5874410254442133,12.896815133306882
21,1,0.85,0.85,dectree,2,5,4.234234329471062,0.8418129451388312,2,8.0,7.264483653003075,0.6889084580824574,0,24.0,18.126653349575648,0.6606561409154057,7,56.0,10.515530199417599,0.39244926282583803,5,11.0,18.46501149943668,0.8385193737130053,2,61.0,0.6844692361351075,11.721182606180813
22,1,0.85,0.85,dectree,2,10,5.986077313742177,0.745069054272879,1,5.0,7.592142351278551,0.7825214597653043,1,8.0,18.999748728256673,0.43362494206387814,13,133.0,5.428172533350253,0.8844779157703404,3,106.0,18.33827641291997,0.745874392821031,8,231.0,0.7183135529386865,11.268883467909523
23,1,0.85,0.85,dectree,2,20,7.338985248219081,0.6151560635890868,0,6.0,7.429201455105101,0.7915952515471743,1,8.0,20.343813197912784,0.3388694209001202,14,154.0,6.191191201811881,0.8126499995589801,3,100.0,14.784002350564048,,10,308.0,,11.21743869072258
24,1,0.9,0.7,lin,1,5,4.234234329471062,0.8418129451388312,2,8.0,7.264483653003075,0.6889084580824574,0,24.0,18.126653349575648,0.6606561409154057,7,56.0,10.515530199417599,0.39244926282583803,5,11.0,18.46501149943668,0.8385193737130053,2,61.0,0.6844692361351075,11.721182606180813
25,1,0.9,0.7,lin,1,10,4.278120820214355,0.8364729551986303,1,8.0,7.361161064131508,0.6885439660387718,0,14.0,39.97622384001629,-0.9519169503651197,8,56.0,16.726175787608064,-4.765915694003927,1,16.0,19.752257079091333,0.8081333640694807,5,108.0,-0.6769364718124329,17.61878771821231
26,1,0.9,0.7,lin,1,20,6.327910864982774,0.697159823257571,1,26.0,7.209223746604273,0.7729955641348193,1,69.0,15.325776284705512,0.38294816428590417,17,145.0,5.303154575390547,0.8040194701289798,7,27.0,33.40524713188857,0.6457088368408848,5,81.0,0.6605663717296318,13.514262520714336
27,1,0.9,0.7,lin,2,5,6.285635384541409,0.7327839294492913,0,5.0,7.592142351278551,0.7825214597653043,1,7.0,20.343813197912784,0.3388694209001202,14,154.0,6.453181524112277,0.8104121629541458,3,105.0,10.422304205585055,0.7435081630397784,9,307.0,0.681619027221728,10.219415332686015
28,1,0.9,0.7,lin,2,10,4.278120820214355,0.8364729551986303,1,8.0,7.361161064131508,0.6885439660387718,0,14.0,39.97622384001629,-0.9519169503651197,8,56.0,16.726175787608064,-4.765915694003927,1,16.0,19.752257079091333,0.8081333640694807,5,108.0,-0.6769364718124329,17.61878771821231
29,1,0.9,0.7,lin,2,20,5.129877166703821,0.8020784241557198,1,25.0,7.35614024587858,0.7660828872496411,1,69.0,11.557777918730428,0.6086429556610868,15,143.0,7.252170155277719,0.6578105202483655,6,24.0,20.117221089687842,0.86077812202376,7,132.0,0.7390785818677147,10.282637315255679
30,1,0.9,0.7,dectree,1,5,6.554821669958629,0.6808314970409897,3,19.0,7.3077236855318946,0.7977051610022446,1,24.0,18.015290969251666,0.5701751426789841,15,247.0,3.7627487901155074,0.9163313233571255,7,129.0,14.784002350564048,,10,316.0,,10.084917493084351
31,1,0.9,0.7,dectree,1,10,5.800372938528932,0.7316365381278584,2,11.0,7.394119440672277,0.7924753191869994,1,17.0,19.824251551279886,0.44481253523087416,14,245.0,4.90403055472052,0.8700316230477698,6,120.0,14.784002350564048,,10,310.0,,10.541355367153134
32,1,0.9,0.7,dectree,1,20,6.327910864982774,0.697159823257571,1,26.0,7.209223746604273,0.7729955641348193,1,69.0,15.325776284705512,0.38294816428590417,17,145.0,5.303154575390547,0.8040194701289798,7,27.0,33.40524713188857,0.6457088368408848,5,81.0,0.6605663717296318,13.514262520714336
33,1,0.9,0.7,dectree,2,5,4.234234329471062,0.8418129451388312,2,8.0,7.264483653003075,0.6889084580824574,0,24.0,18.126653349575648,0.6606561409154057,7,56.0,10.515530199417599,0.39244926282583803,5,11.0,18.46501149943668,0.8385193737130053,2,61.0,0.6844692361351075,11.721182606180813
34,1,0.9,0.7,dectree,2,10,5.129877166703821,0.8020784241557198,1,25.0,7.35614024587858,0.7660828872496411,1,69.0,11.557777918730428,0.6086429556610868,15,143.0,7.252170155277719,0.6578105202483655,6,24.0,20.117221089687842,0.86077812202376,7,132.0,0.7390785818677147,10.282637315255679
35,1,0.9,0.7,dectree,2,20,4.278120820214355,0.8364729551986303,1,8.0,7.361161064131508,0.6885439660387718,0,14.0,39.97622384001629,-0.9519169503651197,8,56.0,16.726175787608064,-4.765915694003927,1,16.0,19.752257079091333,0.8081333640694807,5,108.0,-0.6769364718124329,17.61878771821231
36,1,0.9,0.85,lin,1,5,6.554821669958629,0.6808314970409897,3,19.0,7.3077236855318946,0.7977051610022446,1,24.0,18.015290969251666,0.5701751426789841,15,247.0,3.7627487901155074,0.9163313233571255,7,129.0,14.784002350564048,,10,316.0,,10.084917493084351
37,1,0.9,0.85,lin,1,10,5.800372938528932,0.7316365381278584,2,11.0,7.394119440672277,0.7924753191869994,1,17.0,19.824251551279886,0.44481253523087416,14,245.0,4.90403055472052,0.8700316230477698,6,120.0,14.784002350564048,,10,310.0,,10.541355367153134
38,1,0.9,0.85,lin,1,20,3.9826279311292287,0.8480067646512768,2,8.0,7.835053589777237,0.5930321960371132,0,24.0,19.74180690723296,0.634953218528938,7,54.0,10.515530199417599,0.39244926282583803,5,11.0,18.46501149943668,0.8385193737130053,2,60.0,0.6613921631512343,12.10800602539874
39,1,0.9,0.85,lin,2,5,6.327910864982774,0.697159823257571,1,26.0,7.209223746604273,0.7729955641348193,1,69.0,15.325776284705512,0.38294816428590417,17,145.0,5.303154575390547,0.8040194701289798,7,27.0,33.40524713188857,0.6457088368408848,5,81.0,0.6605663717296318,13.514262520714336
40,1,0.9,0.85,lin,2,10,5.129877166703821,0.8020784241557198,1,25.0,7.35614024587858,0.7660828872496411,1,69.0,11.557777918730428,0.6086429556610868,15,143.0,7.252170155277719,0.6578105202483655,6,24.0,20.117221089687842,0.86077812202376,7,132.0,0.7390785818677147,10.282637315255679
41,1,0.9,0.85,lin,2,20,6.554821669958629,0.6808314970409897,3,19.0,7.3077236855318946,0.7977051610022446,1,24.0,18.015290969251666,0.5701751426789841,15,247.0,3.7627487901155074,0.9163313233571255,7,129.0,14.784002350564048,,10,316.0,,10.084917493084351
42,1,0.9,0.85,dectree,1,5,4.039094741789613,0.8423623879647436,1,8.0,7.93173100090567,0.5926677039934276,0,14.0,42.298870172920125,-1.3056105258927602,8,48.0,16.763537451527842,-4.766492313184352,1,16.0,19.752257079091333,0.8081333640694807,5,103.0,-0.765787876609892,18.15709808924692
43,1,0.9,0.85,dectree,1,10,5.800372938528932,0.7316365381278584,2,11.0,7.394119440672277,0.7924753191869994,1,17.0,19.824251551279886,0.44481253523087416,14,245.0,4.90403055472052,0.8700316230477698,6,120.0,14.784002350564048,,10,310.0,,10.541355367153134
44,1,0.9,0.85,dectree,1,20,6.327910864982774,0.697159823257571,1,26.0,7.209223746604273,0.7729955641348193,1,69.0,15.325776284705512,0.38294816428590417,17,145.0,5.303154575390547,0.8040194701289798,7,27.0,33.40524713188857,0.6457088368408848,5,81.0,0.6605663717296318,13.514262520714336
45,1,0.9,0.85,dectree,2,5,5.129877166703821,0.8020784241557198,1,25.0,7.35614024587858,0.7660828872496411,1,69.0,13.685896804857755,0.5923607994999736,15,143.0,7.252170155277719,0.6578105202483655,6,24.0,20.117221089687842,0.86077812202376,7,132.0,0.735822150635492,10.708261092481143
46,1,0.9,0.85,dectree,2,10,5.011228205618249,0.6722119818136636,8,15.0,5.797816248485343,0.7871201967402846,3,28.0,21.75612702211852,0.6728888714108342,11,106.0,18.848686882526376,-8.137541419277625,5,30.0,8.282490971655898,0.9093175776706143,6,76.0,-1.0192005583284458,11.939269866080876
47,1,0.9,0.85,dectree,2,20,6.490948834156272,0.6840316198022345,3,19.0,7.3077236855318946,0.7977051610022446,1,24.0,17.86986539756491,0.5344516634107113,15,247.0,3.7656810575966704,0.900067914791247,7,130.0,14.784002350564048,,10,317.0,,10.043644265082758
48,1,0.95,0.7,lin,1,5,6.026009241776218,0.7129171616850488,2,11.0,7.394119440672277,0.7924753191869994,1,17.0,20.343813197912784,0.3388694209001202,14,247.0,4.016900348198783,0.9020405187402157,6,120.0,14.784002350564048,,10,311.0,,10.512968915824823
49,1,0.95,0.7,lin,1,10,5.011228205618249,0.6722119818136636,8,15.0,5.797816248485343,0.7871201967402846,3,28.0,21.75612702211852,0.6728888714108342,11,106.0,18.848686882526376,-8.137541419277625,5,30.0,8.282490971655898,0.9093175776706143,6,76.0,-1.0192005583284458,11.939269866080876
50,1,0.95,0.7,lin,1,20,5.076579379386326,0.8750050414588637,5,50.0,5.541482060011827,0.8474541335352854,5,63.0,7.8335430331187474,0.94217665380197,19,261.0,6.243507695891013,0.7849262174251225,10,43.0,30.372328492015647,0.8674769805514386,9,316.0,0.8634078053545361,11.013488132084712
51,1,0.95,0.7,lin,2,5,4.56659525100052,0.7005345734228334,7,32.0,6.410613637376731,0.7961652705140134,2,37.0,21.75612702211852,0.6728888714108342,11,106.0,19.133858889273746,-6.572302948007206,4,15.0,11.421229768554008,0.665728523510992,5,151.0,-0.7473971418297066,12.657684913664704
52,1,0.95,0.7,lin,2,10,6.960676161364115,0.6546139436073615,7,116.0,7.1034803734449605,0.7996099277691416,2,126.0,23.0214081012041,0.352028877483727,17,253.0,3.4502851894721935,0.9358786327459616,9,140.0,14.784002350564048,,10,332.0,,11.063970435209885
53,1,0.95,0.7,lin,2,20,4.968579820553517,0.8524631781607748,6,43.0,5.519444938863123,0.8438133603396191,5,60.0,7.8335430331187474,0.94217665380197,19,261.0,6.538153530850445,0.6994233999705689,13,40.0,52.67611906135667,,10,355.0,,15.5071680769485
54,1,0.95,0.7,dectree,1,5,6.6072559129544715,0.6781163082710282,7,117.0,7.215932432681936,0.7935798425119863,2,130.0,23.0214081012041,0.352028877483727,17,253.0,3.511491019663461,0.9364621702144748,10,132.0,14.784002350564048,,10,327.0,,11.028017963413603
55,1,0.95,0.7,dectree,1,10,5.076579379386326,0.8750050414588637,5,50.0,5.541482060011827,0.8474541335352854,5,63.0,7.8335430331187474,0.94217665380197,19,261.0,6.243507695891013,0.7849262174251225,10,43.0,30.372328492015647,0.8674769805514386,9,316.0,0.8634078053545361,11.013488132084712
56,1,0.95,0.7,dectree,1,20,5.011228205618249,0.6722119818136636,8,15.0,5.797816248485343,0.7871201967402846,3,28.0,21.75612702211852,0.6728888714108342,11,106.0,18.848686882526376,-8.137541419277625,5,30.0,8.282490971655898,0.9093175776706143,6,76.0,-1.0192005583284458,11.939269866080876
57,1,0.95,0.7,dectree,2,5,6.960676161364115,0.6546139436073615,7,116.0,7.1034803734449605,0.7996099277691416,2,126.0,23.0214081012041,0.352028877483727,17,253.0,3.4502851894721935,0.9358786327459616,9,140.0,14.784002350564048,,10,332.0,,11.063970435209885
58,1,0.95,0.7,dectree,2,10,4.56659525100052,0.7005345734228334,7,32.0,6.410613637376731,0.7961652705140134,2,37.0,21.75612702211852,0.6728888714108342,11,106.0,19.133858889273746,-6.572302948007206,4,15.0,11.421229768554008,0.665728523510992,5,151.0,-0.7473971418297066,12.657684913664704
59,1,0.95,0.7,dectree,2,20,4.968579820553517,0.8524631781607748,6,43.0,5.519444938863123,0.8438133603396191,5,60.0,7.8335430331187474,0.94217665380197,19,261.0,6.538153530850445,0.6994233999705689,13,40.0,52.67611906135667,,10,355.0,,15.5071680769485
60,1,0.95,0.85,lin,1,5,6.6072559129544715,0.6781163082710282,7,117.0,7.215932432681936,0.7935798425119863,2,130.0,23.0214081012041,0.352028877483727,17,253.0,3.511491019663461,0.9364621702144748,10,132.0,14.784002350564048,,10,327.0,,11.028017963413603
61,1,0.95,0.85,lin,1,10,5.076579379386326,0.8750050414588637,5,50.0,5.541482060011827,0.8474541335352854,5,63.0,7.8335430331187474,0.94217665380197,19,261.0,6.243507695891013,0.7849262174251225,10,43.0,30.372328492015647,0.8674769805514386,9,316.0,0.8634078053545361,11.013488132084712
62,1,0.95,0.85,lin,1,20,4.56659525100052,0.7005345734228334,7,32.0,6.410613637376731,0.7961652705140134,2,37.0,21.75612702211852,0.6728888714108342,11,106.0,19.133858889273746,-6.572302948007206,4,15.0,11.421229768554008,0.665728523510992,5,151.0,-0.7473971418297066,12.657684913664704
63,1,0.95,0.85,lin,2,5,5.011228205618249,0.6722119818136636,8,15.0,5.797816248485343,0.7871201967402846,3,28.0,21.75612702211852,0.6728888714108342,11,106.0,18.848686882526376,-8.137541419277625,5,30.0,8.282490971655898,0.9093175776706143,6,76.0,-1.0192005583284458,11.939269866080876
64,1,0.95,0.85,lin,2,10,6.960676161364115,0.6546139436073615,7,116.0,7.1034803734449605,0.7996099277691416,2,126.0,23.0214081012041,0.352028877483727,17,253.0,3.4502851894721935,0.9358786327459616,9,140.0,14.784002350564048,,10,332.0,,11.063970435209885
65,1,0.95,0.85,lin,2,20,4.968579820553517,0.8524631781607748,6,43.0,5.519444938863123,0.8438133603396191,5,60.0,7.8335430331187474,0.94217665380197,19,261.0,6.538153530850445,0.6994233999705689,13,40.0,52.67611906135667,,10,355.0,,15.5071680769485
66,1,0.95,0.85,dectree,1,5,6.6072559129544715,0.6781163082710282,7,117.0,7.215932432681936,0.7935798425119863,2,130.0,23.0214081012041,0.352028877483727,17,253.0,3.511491019663461,0.9364621702144748,10,132.0,14.784002350564048,,10,327.0,,11.028017963413603
67,1,0.95,0.85,dectree,1,10,5.076579379386326,0.8750050414588637,5,50.0,5.541482060011827,0.8474541335352854,5,63.0,7.8335430331187474,0.94217665380197,19,261.0,6.243507695891013,0.7849262174251225,10,43.0,30.372328492015647,0.8674769805514386,9,316.0,0.8634078053545361,11.013488132084712
68,1,0.95,0.85,dectree,1,20,3.804044846343677,0.8931057308993304,7,72.0,8.021590863105756,0.7423180213451592,6,104.0,15.979550409782417,0.8523458324027833,13,84.0,17.11214924459494,-3.786652204918072,5,65.0,14.602221414604145,0.8928608672879862,8,161.0,-0.08120435059656257,11.903911355686187
69,1,0.95,0.85,dectree,2,5,4.56659525100052,0.7005345734228334,7,32.0,6.410613637376731,0.7961652705140134,2,37.0,21.75612702211852,0.6728888714108342,11,106.0,19.133858889273746,-6.572302948007206,4,15.0,11.421229768554008,0.665728523510992,5,151.0,-0.7473971418297066,12.657684913664704
70,1,0.95,0.85,dectree,2,10,7.109627733502824,0.5460036473453382,7,149.0,4.322736537932136,0.8963341525585617,2,156.0,11.48010815693743,-0.27137625017608324,18,253.0,6.06679422194925,0.8668004718152673,9,139.0,14.784002350564048,,10,334.0,,8.752653800177137
71,1,0.95,0.85,dectree,2,20,4.968579820553517,0.8524631781607748,6,43.0,5.519444938863123,0.8438133603396191,5,60.0,7.8335430331187474,0.94217665380197,19,261.0,6.538153530850445,0.6994233999705689,13,40.0,52.67611906135667,,10,355.0,,15.5071680769485
72,2,0.85,0.7,lin,1,5,6.844217276152009,0.5617821328493913,7,120.0,4.732859160016537,0.8937418010088577,2,130.0,11.48010815693743,-0.27137625017608324,18,253.0,5.349837479763314,0.8870972075338556,10,132.0,14.784002350564048,,10,334.0,,8.638204884686667
73,2,0.85,0.7,lin,1,10,4.550695413922872,0.8404263998663223,5,48.0,9.74922412032367,0.50518819482137,6,84.0,42.17337745451674,0.28939427266986506,9,65.0,16.307171786391233,-3.382963771462725,2,34.0,12.563028795948144,0.8260973493048116,3,56.0,-0.1843715109600712,17.068699514220533
74,2,0.85,0.7,lin,1,20,3.6436278832074525,0.9129322028345105,5,142.0,6.2081478922873625,0.8632877787022195,7,172.0,29.138571605733866,0.5021660032542593,14,186.0,6.607643646093485,0.8408069749054392,6,127.0,15.70270855081158,0.5599791435922561,6,202.0,0.735834420657737,12.260139915626748
75,2,0.85,0.7,lin,2,5,3.5347552534868725,0.9152342340124383,10,151.0,6.34392497626566,0.802765029870413,5,180.0,26.484892699232237,0.5505210694477571,18,261.0,4.428071146324192,0.9295952348189074,8,142.0,14.111992059970884,,10,291.0,,10.980727227055969
76,2,0.85,0.7,lin,2,10,3.804044846343677,0.8931057308993304,7,72.0,8.021590863105756,0.7423180213451592,6,104.0,15.979550409782417,0.8523458324027833,13,84.0,17.11214924459494,-3.786652204918072,5,65.0,14.602221414604145,0.8928608672879862,8,161.0,-0.08120435059656257,11.903911355686187
