,amount_of_feats_to_reg,corr_cutoff_bound,linear_reg_to,next_predictor_provider,order,req_neighs,Rm_mape,Rm_r2,Rm_missing_from_test,Rm_missing,Rp02_mape,Rp02_r2,Rp02_missing_from_test,Rp02_missing,A5_mape,A5_r2,A5_missing_from_test,A5_missing,HB_mape,HB_r2,HB_missing_from_test,HB_missing,K_mape,K_r2,K_missing_from_test,K_missing,avg_r2,avg_mape,missing_all,missing_test_percent
5,1,0.85,0.7,lin,2,20,5.297725162164724,0.7949963104363272,1,11.0,7.026426835918348,0.7776098358539667,1,17.0,16.59184607633832,0.577482195964134,10,146.0,6.523769267161065,0.6990152497762816,4,15.0,9.882313499784956,0.6998972202199681,6,138.0,0.7098001624501356,9.064416168273484,327.0,0.2558139534883721
117,2,0.9,0.85,dectree,2,5,4.986974488694118,0.7912887164800406,8,159.0,6.279433445628813,0.7730925687281587,2,172.0,15.688579123610042,0.7377431767593581,15,276.0,5.337084277254115,0.9019790487717991,8,146.0,14.111992059970884,,10,333.0,,9.280812679031595,1086.0,0.5
92,2,0.85,0.85,dectree,1,20,4.313607170708837,0.8339837263179519,8,157.0,6.447154947098349,0.7747939527228853,2,161.0,13.605245790276706,0.7651826259695806,15,177.0,8.057465707618688,0.6453262033724971,8,140.0,14.111992059970884,,10,322.0,,9.307093135134693,957.0,0.5
84,2,0.85,0.85,lin,1,5,3.4690278665824796,0.9150271974254526,10,161.0,7.961541564030831,0.7248933694835553,4,185.0,21.88907548134841,0.6147337620818385,18,279.0,3.617187664372474,0.9203605214668177,9,152.0,11.242763554193873,0.7946732598546327,8,269.0,0.7939376220624593,9.635919226105612,1046.0,0.5697674418604651
90,2,0.85,0.85,dectree,1,5,3.4690278665824796,0.9150271974254526,10,161.0,7.961541564030831,0.7248933694835553,4,185.0,21.88907548134841,0.6147337620818385,18,279.0,3.617187664372474,0.9203605214668177,9,152.0,11.242763554193873,0.7946732598546327,8,269.0,0.7939376220624593,9.635919226105612,1046.0,0.5697674418604651
79,2,0.85,0.7,dectree,1,10,3.4690278665824796,0.9150271974254526,10,161.0,7.961541564030831,0.7248933694835553,4,185.0,21.88907548134841,0.6147337620818385,18,279.0,3.617187664372474,0.9203605214668177,9,152.0,11.242763554193873,0.7946732598546327,8,269.0,0.7939376220624593,9.635919226105612,1046.0,0.5697674418604651
103,2,0.9,0.7,dectree,1,10,3.1041377695373917,0.934086185011219,11,162.0,8.124910803586847,0.7189878607319695,4,186.0,20.722326832218965,0.6921804524205993,18,279.0,3.319276304214035,0.9354746897210348,10,154.0,13.103875572084824,,10,305.0,,9.674905456328412,1086.0,0.6162790697674418
115,2,0.9,0.85,dectree,1,10,3.1041377695373917,0.934086185011219,11,162.0,8.124910803586847,0.7189878607319695,4,186.0,20.722326832218965,0.6921804524205993,18,279.0,3.319276304214035,0.9354746897210348,10,154.0,13.103875572084824,,10,305.0,,9.674905456328412,1086.0,0.6162790697674418
108,2,0.9,0.85,lin,1,5,3.1041377695373917,0.934086185011219,11,162.0,8.124910803586847,0.7189878607319695,4,186.0,20.722326832218965,0.6921804524205993,18,279.0,3.319276304214035,0.9354746897210348,10,154.0,13.103875572084824,,10,305.0,,9.674905456328412,1086.0,0.6162790697674418
140,2,0.95,0.85,dectree,1,20,4.641399854821166,0.8063592830757295,11,178.0,2.2804360459808724,0.9406285913062459,10,227.0,20.10581709541474,0.09246889352794052,18,89.0,10.570297119450132,0.7558274019891784,7,139.0,11.151734779413863,0.6942499444658687,9,208.0,0.6579068228729926,9.749936979016153,841.0,0.6395348837209303
